"Time (EpMin)","x (km)","y (km)","z (km)","x (km/sec)","y (km/sec)","z (km/sec)"
66.00000,1560.723603,-1060.996074,6587.124562,-4.683952,4.043988,6.213505
67.00000,1276.795559,-821.769586,6946.766583,-4.775986,3.927888,5.771197
68.00000,988.183583,-589.905240,7279.308847,-4.840034,3.798756,5.310485
69.00000,696.574224,-366.149088,7583.703138,-4.875867,3.657796,4.833249
70.00000,403.663195,-151.173879,7859.015676,-4.883410,3.506249,4.341422
71.00000,111.146303,54.423011,8104.429935,-4.862737,3.345385,3.836978
72.00000,-179.289623,250.121160,8319.248935,-4.814073,3.176499,3.321926
73.00000,-465.975872,435.477893,8502.896798,-4.737793,3.000897,2.798300
74.00000,-747.270159,610.130181,8654.921019,-4.634417,2.819894,2.268151
75.00000,-1021.566443,773.792485,8774.991462,-4.504613,2.634803,1.733540
76.00000,-1287.302189,926.259353,8862.902685,-4.349187,2.446928,1.196526
77.00000,-1542.968034,1067.401278,8918.571600,-4.169082,2.257554,0.659162
78.00000,-1787.114399,1197.167189,8942.038799,-3.965371,2.067942,0.123481
79.00000,-2018.360616,1315.578597,8933.465325,-3.739253,1.879321,-0.408505
80.00000,-2235.400836,1422.731935,8893.132830,-3.492046,1.692881,-0.934818
81.00000,-2437.012322,1518.791192,8821.439703,-3.225180,1.509764,-1.453519
82.00000,-2622.060625,1603.990004,8718.899943,-2.940189,1.331062,-1.962719
83.00000,-2789.506806,1678.623038,8586.138845,-2.638702,1.157805,-2.460580
84.00000,-2938.411860,1743.047378,8423.890514,-2.322435,0.990962,-2.945328
85.00000,-3067.942384,1797.675076,8232.993367,-1.993183,0.831429,-3.415253
86.00000,-3177.374855,1842.968779,8014.386172,-1.652810,0.680031,-3.868724
87.00000,-3266.099040,1879.440719,7769.103367,-1.303236,0.537511,-4.304182
88.00000,-3333.621781,1907.642581,7498.270316,-0.946432,0.404534,-4.720161
89.00000,-3379.569073,1928.166070,7203.097665,-0.584405,0.281676,-5.115277
90.00000,-3403.688384,1941.632271,6884.876516,-0.219189,0.169427,-5.488245
91.00000,-3405.849721,1948.691596,6544.971728,0.147164,0.068189,-5.837876
92.00000,-3386.046399,1950.013329,6184.817074,0.512599,-0.021730,-6.163083
93.00000,-3344.395042,1946.284910,5805.907680,0.875064,-0.100111,-6.462883
94.00000,-3281.134825,1938.201963,5409.795151,1.232525,-0.166829,-6.736404
95.00000,-3196.626373,1926.466914,4998.079391,1.582975,-0.221848,-6.982881
96.00000,-3091.349543,1911.779793,4572.403637,1.924443,-0.265225,-7.201662
97.00000,-2965.901186,1894.836157,4134.445964,2.255009,-0.297105,-7.392210
98.00000,-2820.991637,1876.319180,3685.913922,2.572809,-0.317719,-7.554100
99.00000,-2657.441048,1856.895683,3228.537038,2.876048,-0.327385,-7.687025
100.00000,-2476.175254,1837.211903,2764.059159,3.163007,-0.326498,-7.790791
101.00000,-2278.220456,1817.887032,2294.232920,3.432058,-0.315536,-7.865321
102.00000,-2064.698034,1799.509786,1820.811941,3.681663,-0.295047,-7.910651
103.00000,-1836.818692,1782.634136,1345.543782,3.910391,-0.265652,-7.926929
104.00000,-1595.875644,1767.774279,870.164410,4.116923,-0.228037,-7.914418
105.00000,-1343.238264,1755.402060,396.390081,4.300058,-0.182944,-7.873487
106.00000,-1080.344577,1745.942841,-74.088361,4.458716,-0.131171,-7.804610
107.00000,-808.693633,1739.772398,-539.611780,4.591944,-0.073564,-7.708367
108.00000,-529.837412,1737.214031,-998.558478,4.698914,-0.011006,-7.585434
109.00000,-245.372461,1738.536214,-1449.349868,4.778939,0.055577,-7.436587
110.00000,43.068487,1743.950828,-1890.456370,4.831479,0.125228,-7.262694
111.00000,333.825038,1753.611690,-2320.403186,4.856148,0.196963,-7.064715
112.00000,625.218019,1767.613286,-2737.775303,4.852709,0.269779,-6.843693
113.00000,915.557726,1785.990051,-3141.223909,4.821072,0.342665,-6.600745
114.00000,1203.154305,1808.715482,-3529.467687,4.761299,0.414606,-6.337064
115.00000,1486.325299,1835.702440,-3901.300311,4.673601,0.484587,-6.053908
116.00000,1763.405507,1866.803261,-4255.592362,4.558337,0.551607,-5.752596
117.00000,2032.755683,1901.810555,-4591.295226,4.416014,0.614676,-5.434500
118.00000,2292.771530,1940.458433,-4907.443790,4.247286,0.672830,-5.101042
119.00000,2541.891658,1982.423703,-5203.160565,4.052947,0.725133,-4.753682
120.00000,2778.607261,2027.328416,-5477.655374,3.833931,0.770683,-4.393919
121.00000,3001.468852,2074.741294,-5730.230269,3.591308,0.808620,-4.023276
122.00000,3209.095771,2124.181545,-5960.277769,3.326275,0.838134,-3.643298
123.00000,3400.182025,2175.120409,-6167.285332,3.040154,0.858464,-3.255544
124.00000,3573.505412,2226.986357,-6350.832342,2.734383,0.868913,-2.861580
125.00000,3727.932330,2279.166575,-6510.594105,2.410510,0.868842,-2.462971
126.00000,3862.426251,2331.013525,-6646.337794,2.070187,0.857688,-2.061279
127.00000,3976.051631,2381.846525,-6757.925518,1.715160,0.834954,-1.658048
128.00000,4067.980797,2430.958389,-6845.310644,1.347259,0.800228,-1.254806
129.00000,4137.498146,2477.619230,-6908.537660,0.968393,0.753174,-0.853053
130.00000,4184.004609,2521.081651,-6947.740205,0.580537,0.693544,-0.454259
131.00000,4207.021370,2560.585921,-6963.138981,0.185723,0.621177,-0.059856
132.00000,4206.193006,2595.365320,-6955.039338,-0.213969,0.536001,0.328768
133.00000,4181.289989,2624.651602,-6923.828539,-0.616425,0.438039,0.710273
134.00000,4132.210563,2647.680569,-6869.972722,-1.019501,0.327404,1.083371
135.00000,4058.981951,2663.697691,-6794.013589,-1.421042,0.204305,1.446831
136.00000,3961.760926,2671.963780,-6696.564836,-1.818888,0.069046,1.799486
137.00000,3840.833697,2671.760645,-6578.308347,-2.210887,-0.077976,2.140231
138.00000,3696.615066,2662.396373,-6439.990241,-2.594903,-0.236271,2.468032
139.00000,3529.647338,2643.212597,-6282.416374,-2.968833,-0.405255,2.781925
140.00000,3340.597470,2613.586195,-6106.448574,-3.330612,-0.584258,3.081021
141.00000,3130.255252,2572.939616,-5912.999451,-3.678228,-0.772520,3.364506
142.00000,2899.529031,2520.740795,-5703.028256,-4.009731,-0.969198,3.631645
143.00000,2649.442397,2456.513062,-5477.535958,-4.323243,-1.173370,3.881782
144.00000,2381.128968,2379.835077,-5237.560413,-4.616968,-1.384038,4.114341
145.00000,2095.827584,2290.349628,-4984.171792,-4.889202,-1.600133,4.328826
146.00000,1794.876207,2187.763688,-4718.467282,-5.138344,-1.820521,4.524824
147.00000,1479.705772,2071.855414,-4441.566703,-5.362901,-2.044009,4.702000
148.00000,1151.833227,1942.476090,-4154.607512,-5.561500,-2.269350,4.860102
149.00000,812.854284,1799.552077,-3858.739551,-5.732893,-2.495252,4.998957
150.00000,464.435611,1643.089617,-3555.121033,-5.875965,-2.720383,5.118469
151.00000,108.306699,1473.175467,-3244.913388,-5.989740,-2.943378,5.218621
152.00000,-253.748589,1289.978462,-2929.276481,-6.073389,-3.162849,5.299471
